"","State_id","idp_sites","IDP_present","IDP_time_arrive","IDP_majority","food_inadequate","less_one_meal","hunger_severe_worse","wildfood_sick_alltime","skipping_days","flooded_shelter","fsl_composite","number_pts"
"234","Unity1144",0,0.333333333333333,0,0.333333333333333,0,0,0,0,0,0,0,3
"235","Unity1145",0,0.375,0.125,0.375,0.375,0,0.125,0.125,0,0,0.125,8
"236","Unity1146",0,0,0,0,0.5,0,0,0.5,0,0,0.2,2
"237","Unity1182",0,0.5,0.5,0,0.5,0,0,0,0,0,0.1,2
"238","Unity1183",0,0.333333333333333,0,0,0.444444444444444,0,0,0,0,0,0.0888888888888889,9
"239","Unity1184",0,0.5,0.166666666666667,0.333333333333333,0.333333333333333,0,0,0,0,0,0.0666666666666667,6
"240","Unity1185",0,0.307692307692308,0,0.307692307692308,0,0,0,0,0,0,0,13
"241","Unity1188",0,0,0,0,0,0,0,0,0,0,0,3
"242","Unity1221",0,0.75,0.25,0.25,0,0,0,0,0,0,0,4
"243","Unity1222",0,0.642857142857143,0.0714285714285714,0.214285714285714,0.571428571428571,0,0.142857142857143,0,0,0,0.142857142857143,14
"244","Unity1223",0,0.285714285714286,0.142857142857143,0.142857142857143,0.142857142857143,0,0,0,0,0.142857142857143,0.0285714285714286,7
"245","Unity1224",0,0.5,0,0.5,0,0,0,0,0,0,0,2
"246","Unity1225",0,0.5,0,0.375,0,0,0,0,0,0,0,8
"247","Unity1226",0,0.333333333333333,0,0.333333333333333,0.333333333333333,0,0,0,0,0,0.0666666666666667,3
"248","Unity1228",0,0.25,0,0,0,0,0,0,0,0,0,4
"249","Unity1229",0,0,0,0,0.333333333333333,0,0,0,0,0,0.0666666666666667,3
"250","Unity1258",0,1,0.0882352941176471,0.323529411764706,0,0,0,0.382352941176471,0,0.0294117647058824,0.0764705882352941,34
"251","Unity1260",0,1,0,0.833333333333333,0,0,0,0,0,0,0,6
"252","Unity1261",0,0.609756097560976,0.0731707317073171,0.414634146341463,0.170731707317073,0,0.0487804878048781,0.024390243902439,0,0.024390243902439,0.0487804878048781,41
"253","Unity1262",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"254","Unity1263",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"255","Unity1265",0,0,0,0,0,0,0,0,0,0,0,2
"256","Unity1267",0,0,0,0,0.1,0.1,0.1,0,0,0,0.06,10
"257","Unity1268",0,0,0,0,0.117647058823529,0.117647058823529,0.0588235294117647,0,0,0,0.0588235294117647,17
"258","Unity1269",0,0.333333333333333,0,0,0,0,0,0,0,0,0,3
"259","Unity1297",0,1,0,0.666666666666667,0,0,0,0.333333333333333,0,0,0.0666666666666667,3
"260","Unity1298",0,1,0.333333333333333,0,0,0,0,0,0,0,0,3
"261","Unity1299",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"262","Unity1301",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"263","Unity1307",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"264","Unity1308",0,0,0,0,0,0,0,0,0,0,0,3
"265","Unity1309",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"266","Unity1338",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"267","Upper Nile1386",0,0.166666666666667,0,0,0.833333333333333,0.666666666666667,0,0.666666666666667,0,0,0.433333333333333,6
"268","Upper Nile1426",0,0.571428571428571,0,0.142857142857143,0.571428571428571,0.428571428571429,0,0.428571428571429,0,0.285714285714286,0.285714285714286,7
"269","Upper Nile1547",0,1,0,0.75,0.25,0.25,0,0.25,0,0,0.15,4
"270","Upper Nile1586",0,0.944444444444444,0,0.833333333333333,0.166666666666667,0.0555555555555556,0,0,0.0555555555555556,0,0.0555555555555556,18
"271","Upper Nile1587",0,1,0,0.5,0.5,0.5,0,0,0.25,0.25,0.25,4
"272","Upper Nile1626",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"273","Upper Nile1627",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"274","Upper Nile1628",0,0.941176470588235,0,0,0.235294117647059,0.235294117647059,0,0.0588235294117647,0,0.0588235294117647,0.105882352941176,17
"275","Upper Nile1629",0,1,0,0,0,0,0,0,0,0,0,2
"276","Upper Nile1664",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"277","Upper Nile1665",0,1,0,0.5,0.5,0.25,0,0,0,0.25,0.15,4
"278","Upper Nile1667",0,1,0,0,0,0,0,0,0,0,0,2
"279","Upper Nile1668",0,0.866666666666667,0,0.0666666666666667,0.133333333333333,0.133333333333333,0,0.133333333333333,0,0,0.08,15
"280","Upper Nile1669",0,0.8,0,0.4,0,0,0,0.2,0,0,0.04,5
"281","Upper Nile1670",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"282","Upper Nile1671",0,0.5,0,0,0.5,0.5,0.5,1,0,0,0.5,2
"283","Upper Nile1707",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"284","Upper Nile1709",0,0.333333333333333,0,0,0.666666666666667,0.666666666666667,0.333333333333333,0.333333333333333,0,0.333333333333333,0.4,3
"285","Upper Nile1710",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"286","Upper Nile1711",0,0.333333333333333,0,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0,0,0.266666666666667,3
"287","Upper Nile1712",0,0,0,0,0.5,0.5,0.5,0.5,0,0,0.4,2
"288","Upper Nile1749",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"289","Upper Nile1750",0,0.25,0,0.25,0.75,0.75,0.25,0.75,0,0,0.5,4
"290","Upper Nile1751",0,0,0,0,0.5,0.5,0,0,0,0,0.2,2
"291","Upper Nile1752",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"292","Upper Nile1783",0,0.75,0.25,0.583333333333333,0.333333333333333,0.25,0.25,0.333333333333333,0.25,0,0.283333333333333,12
"293","Upper Nile1784",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"294","Upper Nile1785",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"295","Upper Nile1791",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"296","Upper Nile1793",0,0.333333333333333,0,0.333333333333333,0.333333333333333,0.333333333333333,0,0.666666666666667,0,0,0.266666666666667,3
"297","Upper Nile1794",0,0,0,0,0.5,0,0,0.5,0,0,0.2,2
"298","Upper Nile1795",0,0.5,0,0.5,0,0,0,0.5,0,0,0.1,2
"299","Upper Nile1796",0,0.666666666666667,0,0,0.666666666666667,0.666666666666667,0,0.666666666666667,0,0,0.4,3
"300","Upper Nile1798",0,0.666666666666667,0,0.666666666666667,0,0,0,0.333333333333333,0,0,0.0666666666666667,3
"301","Upper Nile1822",0,0.571428571428571,0.285714285714286,0,0.714285714285714,0.714285714285714,0.142857142857143,0.714285714285714,0.428571428571429,0,0.542857142857143,7
"302","Upper Nile1823",0,0,0,0,1,0.5,1,1,0.5,0,0.8,2
"303","Upper Nile1824",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"304","Upper Nile1828",0.5,1,0,0.5,0,0,0,0,0,0,0,2
"305","Upper Nile1829",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"306","Upper Nile1835",0.142857142857143,0.285714285714286,0,0.142857142857143,0.714285714285714,0.571428571428571,0.142857142857143,0.428571428571429,0,0,0.371428571428571,7
"307","Upper Nile1836",0,0.571428571428571,0.142857142857143,0.428571428571429,0.714285714285714,0.285714285714286,0.142857142857143,0.142857142857143,0.142857142857143,0,0.285714285714286,7
"308","Upper Nile1837",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"309","Upper Nile1861",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"310","Upper Nile1862",0,0.777777777777778,0.555555555555556,0.444444444444444,0.444444444444444,0.222222222222222,0.222222222222222,0.444444444444444,0.333333333333333,0,0.333333333333333,9
"311","Upper Nile1863",0,0.666666666666667,0.166666666666667,0.166666666666667,0.5,0.5,0.166666666666667,0.5,0.333333333333333,0,0.4,6
"312","Upper Nile1864",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"313","Upper Nile1869",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"314","Upper Nile1870",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"315","Upper Nile1876",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"316","Upper Nile1878",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"317","Upper Nile1901",0,0.666666666666667,0.333333333333333,0,1,0.333333333333333,0.333333333333333,1,1,0,0.733333333333333,3
"318","Upper Nile1903",0,0.5,0.5,0.5,0,0,0,0,0,0,0,2
"319","Upper Nile1909",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"320","Upper Nile1947",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"321","Upper Nile1949",0,0.666666666666667,0,0.333333333333333,0,0,0,0.333333333333333,0,0,0.0666666666666667,3
"322","Upper Nile1950",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"323","Upper Nile1988",0,0.5,0,0.25,0.25,0.5,0,0.5,0,0,0.25,4
"324","Upper Nile1990",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"325","Warrap1020",0,0.25,0,0.25,0.25,0.25,0.25,0.25,0.25,0,0.25,4
"326","Warrap1021",0,0.5,0,0,0.5,0.5,0,0,0.5,0,0.3,2
"327","Warrap1022",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"328","Warrap1024",0,0.5,0.5,0,0,0,0,0.5,0,0.5,0.1,2
"329","Warrap1059",0,0.333333333333333,0,0,0.666666666666667,0,0.333333333333333,0.666666666666667,0.333333333333333,0,0.4,3
"330","Warrap1060",0,0.5,0,0,0,0,0,0,0,0,0,2
"331","Warrap1061",0,0,0,0,0,0,0,0,0,0,0,2
"332","Warrap1062",0,0,0,0,1,1,0.5,1,0,0,0.7,2
"333","Warrap1064",0,0,0,0,0.5,0,0,0,0,0.5,0.1,2
"334","Warrap1180",0,1,0,1,0,0,0,0,0,0,0,2
"335","Warrap784",0,0,0,0,1,1,0.75,0,0.25,0.25,0.6,4
"336","Warrap821",0,0.666666666666667,0.666666666666667,0.333333333333333,0.666666666666667,0.666666666666667,0.666666666666667,0.333333333333333,0.333333333333333,1,0.533333333333333,3
"337","Warrap825",0,0,0,0,1,1,1,0,0,0,0.6,2
"338","Warrap861",0,0.5,0.5,0.25,0.5,0.5,0.5,0.5,0,0.75,0.4,4
"339","Warrap862",0,0.5,0,0.5,0.5,0.5,0.5,0,0,0.5,0.3,2
"340","Warrap864",0,0,0,0,1,0.666666666666667,1,0,0,0,0.533333333333333,3
"341","Warrap896",0,0.2,0,0.2,0.8,0.6,0.2,0.2,0.4,0,0.44,5
"342","Warrap897",0,0.666666666666667,0,0,0.666666666666667,0.333333333333333,0,0,0,0,0.2,3
"343","Warrap898",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"344","Warrap900",0,0,0,0,0,0,0,0,0,0,0,3
"345","Warrap901",0,0.714285714285714,0.571428571428571,0.571428571428571,0.571428571428571,0.571428571428571,0.571428571428571,0.428571428571429,0,1,0.428571428571429,7
"346","Warrap902",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"347","Warrap903",0,0.666666666666667,0,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0,0.666666666666667,0.266666666666667,3
"348","Warrap904",0,0,0,0,1,0.666666666666667,0.666666666666667,0,0.333333333333333,0,0.533333333333333,3
"349","Warrap905",0,0,0,0,1,1,1,0.5,0,0,0.7,2
"350","Warrap936",0,0.5,0.25,0.25,0,0,0,0,0,0,0,4
"351","Warrap938",0,0.666666666666667,0,0.333333333333333,1,1,0.666666666666667,0.666666666666667,0.333333333333333,0,0.733333333333333,3
"352","Warrap939",0,0,0,0,0.5,0.5,0,0.5,0,0,0.3,2
"353","Warrap940",0,0.4,0,0.2,0.2,0.2,0.2,0.2,0.2,0,0.2,5
"354","Warrap941",0,0,0,0,0,0,0,0,0,0,0,2
"355","Warrap942",0,1,0,0.5,0,0,0,0,0,1,0,2
"356","Warrap944",0,0.5,0,0.5,1,0.875,1,0.5,0.125,0,0.7,8
"357","Warrap945",0,0.230769230769231,0,0.153846153846154,1,0.769230769230769,0.923076923076923,0.153846153846154,0.153846153846154,0,0.6,13
"358","Warrap977",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"359","Warrap978",0,0.25,0,0,0,0,0,0,0,0,0,4
"360","Warrap979",0,0.666666666666667,0,0,1,0.666666666666667,0,1,0.333333333333333,0,0.6,3
"361","Warrap981",0,0.5,0,0.5,0,0,0,0,0,0,0,2
"362","Warrap983",0,0.5,0,0,1,0.5,0,0.5,0.5,0,0.5,2
"363","Warrap985",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"364","Warrap986",0,0.315789473684211,0,0.210526315789474,0.578947368421053,0.473684210526316,0.578947368421053,0.210526315789474,0.105263157894737,0,0.389473684210526,19
"365","Western Bahr el Ghazal182",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"366","Western Bahr el Ghazal226",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"367","Western Bahr el Ghazal262",0,0,0,0,1,1,1,0,0.5,0,0.7,2
"368","Western Bahr el Ghazal307",0,0,0,0,0.5,0.5,0,0,0,0,0.2,2
"369","Western Bahr el Ghazal342",0,0.15,0,0,0.8,0.5,0.1,0.05,0.15,0.05,0.32,20
"370","Western Bahr el Ghazal381",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"371","Western Bahr el Ghazal382",0,0.5,0,0,1,1,1,0,1,0,0.8,2
"372","Western Bahr el Ghazal420",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"373","Western Bahr el Ghazal423",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"374","Western Bahr el Ghazal458",0,0,0,0,0.571428571428571,0.285714285714286,0,0,0,0,0.171428571428571,7
"375","Western Bahr el Ghazal499",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"376","Western Bahr el Ghazal580",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"377","Western Bahr el Ghazal659",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"378","Western Bahr el Ghazal699",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"379","Western Bahr el Ghazal737",0,1,0,0.5,0.5,0.5,0,0.5,0.5,0,0.4,2
"380","Western Bahr el Ghazal738",0,0.666666666666667,0,0.666666666666667,0.666666666666667,0.666666666666667,0,0.333333333333333,0,0,0.333333333333333,3
"381","Western Bahr el Ghazal739",0,0.666666666666667,0,0.333333333333333,0.333333333333333,0.333333333333333,0,0.333333333333333,0,0,0.2,3
"382","Western Bahr el Ghazal740",0,0,0,0,1,1,0,0.5,0,0,0.5,2
"383","Western Bahr el Ghazal741",0,0.5,0,0,0.5,0.25,0,0.25,0.25,0,0.25,4
"384","Western Bahr el Ghazal775",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"385","Western Bahr el Ghazal776",0,1,0,0.5,0.5,0.5,0,0,0,0,0.2,2
"386","Western Bahr el Ghazal777",0,0.5,0,0,0,0,0,0,0,0,0,2
"387","Western Bahr el Ghazal778",0,0.166666666666667,0,0.166666666666667,0.666666666666667,0.666666666666667,0,0.666666666666667,0,0,0.4,6
"388","Western Bahr el Ghazal779",0,0.2,0,0.2,0.8,0.8,0.2,0.2,0,0,0.4,5
"389","Western Bahr el Ghazal780",0,0,0,0,0.666666666666667,0.666666666666667,0,0.333333333333333,0,0,0.333333333333333,3
"390","Western Bahr el Ghazal781",0,0,0,0,1,1,0.5,0.5,0,0,0.6,2
"391","Western Bahr el Ghazal782",0,0,0,0,1,1,0.75,0,0,0,0.55,4
"392","Western Bahr el Ghazal816",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"393","Western Bahr el Ghazal817",0,0.75,0,0.25,0.5,0.5,0,0,0,0,0.2,4
"394","Western Bahr el Ghazal818",0,0.111111111111111,0,0.111111111111111,0.555555555555556,0.444444444444444,0,0.222222222222222,0.222222222222222,0,0.288888888888889,9
"395","Western Bahr el Ghazal819",0.0232558139534884,0.13953488372093,0,0.0697674418604651,0.511627906976744,0.325581395348837,0.116279069767442,0.186046511627907,0.0930232558139535,0,0.246511627906977,43
"396","Western Bahr el Ghazal820",0,0.666666666666667,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0,0.333333333333333,0,0.333333333333333,0.2,3
"397","Western Bahr el Ghazal822",0,0.666666666666667,0.666666666666667,0.666666666666667,0.666666666666667,0.666666666666667,0.666666666666667,0.666666666666667,0,1,0.533333333333333,3
"398","Western Bahr el Ghazal856",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"399","Western Bahr el Ghazal857",0,0,0,0,0.333333333333333,0,0,0.666666666666667,0,0,0.2,3
"400","Western Bahr el Ghazal858",0,0.125,0,0,1,1,0.25,0.5,0.25,0,0.6,8
"401","Western Bahr el Ghazal859",0,0,0,0,0.857142857142857,0.714285714285714,0.428571428571429,0.714285714285714,0.428571428571429,0,0.628571428571429,7
"402","Western Bahr el Ghazal860",0,0.666666666666667,0,0.666666666666667,0.666666666666667,0.666666666666667,0.666666666666667,0.333333333333333,0,1,0.466666666666667,3
"403","Western Bahr el Ghazal899",0,0.333333333333333,0,0,0,0,0,0,0,0,0,3
"404","Western Equatoria1004",0,0.5,0,0.5,0,0,0,0,0,0,0,2
"405","Western Equatoria1005",0,0,0,0,0,0,0,0,0,0,0,2
"406","Western Equatoria1045",0,0.5,0,0.5,0,0,0,0,0,0,0,2
"407","Western Equatoria1046",0,1,0.333333333333333,0.333333333333333,0,0,0,0,0,0,0,3
"408","Western Equatoria1047",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"409","Western Equatoria1086",0,0.777777777777778,0,0.222222222222222,0,0,0,0,0,0,0,9
"410","Western Equatoria1087",0,0.666666666666667,0,0.666666666666667,0,0,0,0,0,0,0,3
"411","Western Equatoria1126",0,1,0,1,0,0,0,0,0,0,0,2
"412","Western Equatoria1128",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"413","Western Equatoria1166",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"414","Western Equatoria1167",0,1,0,0.5,0.5,0.5,0,0.5,0,0,0.3,2
"415","Western Equatoria1171",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"416","Western Equatoria1172",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"417","Western Equatoria1207",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"418","Western Equatoria1210",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"419","Western Equatoria1211",0,1,0,0.666666666666667,0.333333333333333,0.333333333333333,0,0.333333333333333,0,0,0.2,3
"420","Western Equatoria1212",0,1,0,0,0,0,0,0,0,0,0,2
"421","Western Equatoria1213",0,0.166666666666667,0,0.166666666666667,0.833333333333333,0.833333333333333,0.333333333333333,0.333333333333333,0,0,0.466666666666667,6
"422","Western Equatoria1247",0,1,0,0.8,0,0,0,0,0,0,0,5
"423","Western Equatoria1248",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"424","Western Equatoria1250",0,1,0,1,0,0,0,0,0,0,0,2
"425","Western Equatoria1251",0,1,0,1,0,0,0,0,0,0,0,3
"426","Western Equatoria1252",0,0.5,0,0.5,0.25,0.25,0.25,0,0,0,0.15,4
"427","Western Equatoria1286",0,1,0,0.666666666666667,0,0,0,0,0,0,0,3
"428","Western Equatoria1287",0,1,0,0.333333333333333,0,0,0,0,0,0,0,3
"429","Western Equatoria1288",0,1,0,0.833333333333333,0,0,0,0,0,0,0,6
"430","Western Equatoria1289",0,1,0,0,0,0,0,0,0,0,0,3
"431","Western Equatoria1290",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"432","Western Equatoria1326",0,1,0,0.5,0,0,0,0,0,0,0,2
"433","Western Equatoria1327",0,1,0,0,0,0,0,0,0,0,0,3
"434","Western Equatoria1328",0,1,0,0.666666666666667,0,0,0,0,0,0,0,3
"435","Western Equatoria1329",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"436","Western Equatoria1330",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"437","Western Equatoria1368",0,1,0,0,0,0,0,0,0,0,0,3
"438","Western Equatoria1369",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"439","Western Equatoria1370",0,0.5,0,0,1,0,0.5,0.5,0,0,0.4,2
"440","Western Equatoria649",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"441","Western Equatoria686",0,1,0,0,0,0,0,0,0,0.333333333333333,0,3
"442","Western Equatoria687",0,1,0,0,0.333333333333333,0,0.333333333333333,0,0,0,0.133333333333333,3
"443","Western Equatoria689",0,0.818181818181818,0,0,0,0,0,0,0,0,0,11
"444","Western Equatoria726",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"445","Western Equatoria727",0,0.5,0,0,0,0,0,0,0,0,0,2
"446","Western Equatoria728",0,1,0,0,0,0,0,0.5,0,0,0.1,2
"447","Western Equatoria729",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"448","Western Equatoria766",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"449","Western Equatoria767",0,0.5,0,0,0,0,0,0,0,0,0,2
"450","Western Equatoria770",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"451","Western Equatoria772",0,1,0,0,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0,0.333333333333333,3
"452","Western Equatoria805",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"453","Western Equatoria807",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"454","Western Equatoria813",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"455","Western Equatoria844",0,0.75,0,0,0.25,0,0.25,0,0,0,0.1,4
"456","Western Equatoria845",0,0.25,0,0,0.125,0.125,0.125,0,0.125,0,0.1,8
"457","Western Equatoria846",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"458","Western Equatoria884",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"459","Western Equatoria885",0,0.857142857142857,0,0.0714285714285714,0,0,0,0,0,0,0,14
"460","Western Equatoria889",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"461","Western Equatoria925",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"462","Western Equatoria965",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"463","Western Equatoria968",0,1,0,0.5,0,0,0,0,0,0,0,2
